R_rpes,k_sim,d_proj,Recall
16,5,8,0.7058563118569441
16,5,16,0.6641699457482617
16,5,32,0.6400467263043901
16,6,8,0.6746772899626093
16,6,16,0.6273444400785672
16,6,32,0.5662481693930296
16,7,8,0.5974635122566456
16,7,16,0.482070161569565
16,7,32,0.5349441115935981
17,3,8,0.5980309443292393
17,3,16,0.48969857382857834
17,3,32,0.4466156956084393
17,4,8,0.7084198481605218
17,4,16,0.6233941687682284
17,4,32,0.6148472371799727
17,5,8,0.7730825669371896
17,5,16,0.6928529474450548
17,5,32,0.6329631733119147
17,6,8,0.6485002589626504
17,6,16,0.6167026037659934
17,6,32,0.6191191861869141
17,7,8,0.5856837362201952
17,7,16,0.4780411371597072
17,7,32,0.4839378983258081
18,3,8,0.6171559794362316
18,3,16,0.5152331115831101
18,3,32,0.5096897578767159
18,4,8,0.724193147170838
18,4,16,0.6243101533073171
18,4,32,0.6326620530818902
18,5,8,0.8051958919788207
18,5,16,0.7570162701078096
18,5,32,0.7194679644028042
18,6,8,0.6811168045787453
18,6,16,0.6304645110447821
18,6,32,0.6373794902877015
18,7,8,0.6210100365717327
18,7,16,0.5572002652583256
18,7,32,0.6206599494179917
19,3,8,0.649954182722844
19,3,16,0.6030468132322445
19,3,32,0.5609290669608286
19,4,8,0.771385308280469
19,4,16,0.6785378700268623
19,4,32,0.6740941940100765
19,5,8,0.795569992949042
19,5,16,0.7478025678077465
19,5,32,0.7036753896042796
19,6,8,0.7542997949228847
19,6,16,0.7574357043662778
19,6,32,0.5953071616175261
19,7,8,0.6534152731132844
19,7,16,0.520598367891137
19,7,32,0.5181510580823495
20,3,8,0.6935898520861878
20,3,16,0.5990021113748085
20,3,32,0.5280705374932714
20,4,8,0.7606440020047684
20,4,16,0.7386434223753853
20,4,32,0.6596736609850369
20,5,8,0.8564937576874594
20,5,16,0.787519531821892
20,5,32,0.729933536225809
20,6,8,0.8464214359623273
20,6,16,0.7372730605768854
20,6,32,0.6208303823368228
20,7,8,0.6665149636202498
20,7,16,0.577220116858893
20,7,32,0.5859758808750373
21,3,8,0.6371457120241859
21,3,16,0.5936316175579376
21,3,32,0.5755524992005643
21,4,8,0.8080757691076712
21,4,16,0.6822465976956718
21,4,32,0.6715496228613225
21,5,8,0.8357516406651714
21,5,16,0.7665524996475663
21,5,32,0.8024451738624165
21,6,8,0.7942525646113963
21,6,16,0.6804289712772936
21,6,32,0.7091205183481942
21,7,8,0.7245860200875459
21,7,16,0.628047668618479
21,7,32,0.5148217818525301
22,3,8,0.6463943119911794
22,3,16,0.6350810452775433
22,3,32,0.5391727968625871
22,4,8,0.7954176961269543
22,4,16,0.741494511510225
22,4,32,0.6537767457892084
22,5,8,0.8482142393181461
22,5,16,0.6889143564227055
22,5,32,0.7187499174139549
22,6,8,0.7745260687407727
22,6,16,0.6808219944483995
22,6,32,0.7305569990545
22,7,8,0.6180170928383479
22,7,16,0.583872376201035
22,7,32,0.5643250981497333
23,3,8,0.7041595328491503
23,3,16,0.5539978462665615
23,3,32,0.5952977933957994
23,4,8,0.7824101051131551
23,4,16,0.6888102303759065
23,4,32,0.6954477641644491
23,5,8,0.8559717908672042
23,5,16,0.7681458703100138
23,5,32,0.7515756092036842
23,6,8,0.7705437053767147
23,6,16,0.7216610102648825
23,6,32,0.7014485801721824
23,7,8,0.7085018386615275
23,7,16,0.5599392458371392
23,7,32,0.6243938820708386
24,3,8,0.6023587001914918
24,3,16,0.5925201579508771
24,3,32,0.5780523970256878
24,4,8,0.7905328693146185
24,4,16,0.6995745043127272
24,4,32,0.6753409924258327
24,5,8,0.835209971960235
24,5,16,0.7684714339164513
24,5,32,0.7749696095646144
24,6,8,0.792813577861519
24,6,16,0.6974682020495254
24,6,32,0.7085726561995485
24,7,8,0.6701403198034652
24,7,16,0.6214595743671134
24,7,32,0.5792917460888589
