R_rpes,k_sim,d_proj,Recall
8,4,16,0.8373835455428911
17,3,32,0.8181775521621005
15,6,8,0.9713043649256665
25,4,8,1.0389011722069066
16,7,32,0.8088014671557683
9,4,16,0.8412475967960011
11,5,32,0.8175798017012977
9,7,8,0.8485159450368903
20,3,8,0.9761535457685748
25,3,8,0.975561639068448
8,5,16,0.8707819730371423
17,8,8,0.814408153336559
9,3,16,0.8051471193462162
25,7,8,0.9736809624199483
13,7,16,0.8483059523911926
19,7,32,0.8476298802258785
20,4,16,1.0094246811922039
25,4,32,0.9173240525376464
8,7,16,0.7732197421843555
20,4,32,0.9329784579065108
18,8,16,0.7896915951619216
21,4,32,0.9202033418170522
22,6,8,1.0265207457737087
10,8,32,0.619050932784101
14,4,16,0.9401125668146314
8,6,8,0.8795540457354414
5,8,8,0.6819506969715138
10,6,32,0.7688510381096108
5,4,32,0.712709553412053
22,4,8,1.0419655740072877
23,4,32,0.923547576931132
9,3,8,0.8395021988772661
7,6,8,0.8667529456558424
21,3,32,0.8652700420845466
8,7,32,0.7045378191263568
7,4,16,0.8083692625566213
15,7,32,0.7937033905524348
18,8,8,0.8610123574106603
21,3,8,0.9858987982073452
12,6,16,0.8896947452336256
14,5,16,0.9319437349246064
5,4,8,0.8288168807567836
15,7,16,0.8720227932179192
23,7,8,0.9913307987955972
16,7,32,0.7871486256518506
7,3,8,0.8000677493693715
7,3,16,0.7552686421123989
8,5,32,0.787849575212405
8,8,8,0.7144569037342869
23,3,8,0.975293623418452
19,6,16,0.9844971709673002
8,6,16,0.8444539325089481
25,7,8,0.9760761100185036
22,4,32,0.8895385694520006
23,7,16,0.9454331189138753
19,6,32,0.911057096243387
14,6,16,0.9178045897166879
6,6,32,0.7224929671266139
9,7,8,0.8368511344401468
15,5,32,0.877125688668689
16,4,8,0.9819663378396578
13,5,32,0.8444993519609112
16,5,8,0.9973651016414233
7,4,8,0.8648807757457933
24,6,32,0.904495706549165
21,6,16,1.0041731882103182
5,7,8,0.7705563150917569
5,7,32,0.6623810314783231
11,5,8,0.925940370837321
24,4,8,1.0340994235413044
19,4,32,0.9055617726160073
15,3,8,0.8967263352146406
24,3,16,0.9411514787314009
13,5,32,0.8428751910378673
18,7,8,0.9359097713552409
7,6,32,0.7336342391255435
8,8,32,0.6060512008408216
7,6,16,0.8356222265221799
16,5,32,0.885347580268867
18,4,32,0.8973809514537382
21,3,32,0.8622384356331291
13,7,32,0.769962896487944
13,4,32,0.8395265067374695
24,7,8,0.9649300160178572
13,7,32,0.7734312739902829
7,5,8,0.8828465771108883
25,3,8,0.9777574106574836
8,3,16,0.7769775026954493
17,8,16,0.7962485288333873
19,6,32,0.8944047047488364
5,4,16,0.8018333919925761
9,8,8,0.7500427636612218
8,8,32,0.5994386697955124
18,4,16,0.9733194829059824
16,8,8,0.8197936762951
18,3,16,0.9121585878691523
18,7,32,0.8379949975936736
16,6,16,0.9429642422596233
21,8,32,0.7554619595894799
19,6,32,0.9106993120682991
21,7,16,0.9308199523018096
24,6,32,0.9225249662707685
6,7,32,0.6815365513059475
13,6,32,0.8402661520834616
5,3,32,0.6590961799272305
9,8,16,0.7070093057314005
11,6,32,0.8103440988648152
18,6,32,0.8833712069296226
12,4,32,0.8011539482174018
20,6,32,0.9169503636214557
14,8,8,0.8102893549259484
23,8,16,0.8392771299244
13,7,16,0.8406600910900888
20,3,8,0.9955224318004856
16,6,16,0.9495357115467001
11,3,8,0.8367940572420925
20,3,16,0.943171606262927
6,6,16,0.8185337394790421
17,4,32,0.882256086544711
8,5,8,0.9044971210023198
23,6,8,1.03932724391077
20,5,16,1.0068160413035525
8,6,8,0.8762929599677954
15,3,32,0.7838771753777704
17,6,16,0.9506725908920562
11,5,16,0.8873693165089773
8,3,32,0.7045248909263965
10,6,8,0.9076456281207929
16,4,8,0.9821850130398595
5,7,16,0.7335066207226961
16,6,16,0.9464324356164522
13,4,32,0.8374586139477915
25,5,8,1.0399578428450107
15,8,8,0.8171020985418421
16,4,8,0.9812095469264888
10,7,32,0.7078208082168721
20,4,32,0.9005429691683602
13,8,16,0.7375388317253138
7,6,16,0.8288617622245971
24,4,16,1.0039306293398007
24,6,16,0.990610184273222
19,5,8,1.0568368765807992
25,7,8,0.994229834965161
8,8,8,0.7239608658495655
8,4,8,0.8740859733219188
12,7,32,0.764577525178437
14,4,32,0.8475539569566334
14,7,8,0.9086740741135491
14,4,16,0.9134353632502847
8,5,8,0.8716544549472529
19,8,16,0.8478345768815034
23,8,32,0.7438912159655006
17,5,32,0.8996423192813978
8,6,16,0.8638074535121976
14,4,8,0.9633057675627437
15,5,8,1.0028257980689155
18,5,16,0.9783093676395161
12,7,8,0.8555566637859963
12,5,8,0.9480063054135378
6,5,32,0.7642408306776783
17,6,16,0.956537505523527
7,3,8,0.7987203034559516
7,8,32,0.5886463395661162
6,7,8,0.8041526855181059
10,5,8,0.9122172646759328
13,3,16,0.8345612367254331
9,3,8,0.8254466407882396
5,5,32,0.7509463837471207
16,6,8,0.9890148819261539
7,8,16,0.6879882007723711
10,8,8,0.7560311239249777
21,8,8,0.8796490482313032
13,4,16,0.9193174450475544
6,8,8,0.695448303460652
22,6,8,1.0329507864749254
21,5,16,1.026799748442451
8,7,8,0.8130367334613892
13,4,32,0.823762695658628
25,4,8,1.0532778269595797
9,5,8,0.9123205184711594
21,5,16,1.0119685861265835
8,7,16,0.7753566230856451
12,8,16,0.7435512391892202
8,6,16,0.8344745932658328
23,7,8,0.9761312915314935
22,8,32,0.7548970726036636
6,5,32,0.7551725882767364
23,7,32,0.8561451023962439
22,8,16,0.8239816395102746
25,5,8,1.0511281905815495
7,4,8,0.8573387762516022
10,7,8,0.8590998605112181
10,3,32,0.734793407087757
17,4,32,0.8858725937939983
17,3,16,0.8949464168273559
7,5,32,0.7585087512467268
20,3,32,0.8549248239834264
12,6,32,0.8028145323078166
12,8,32,0.6783053372492034
16,5,8,0.9842134501829526
22,3,32,0.8656400853507381
11,5,32,0.8071544770200747
12,6,32,0.8122898984183864
23,3,32,0.8501199805750627
16,3,32,0.7948903770418403
24,4,32,0.9085980369906502
22,3,16,0.9575498615374206
14,8,16,0.7586701157769041
19,3,8,0.9590096447218857
14,5,16,0.9455578696408288
23,6,8,1.0401034931456627
5,7,16,0.7472003375934165
14,8,16,0.7417574334406217
16,6,16,0.9497027057112867
22,6,8,1.0477269483710236
14,3,8,0.8833840170888543
5,7,16,0.7444819528442331
21,7,16,0.9569618157282817
15,6,8,0.9731847562997862
9,5,8,0.9215473927035814
25,7,16,0.9467057045031092
8,7,16,0.7729249430248942
24,8,16,0.840397667345865
13,6,16,0.8909967195580507
19,8,8,0.8621536362956413
5,8,32,0.5626568797496623
24,4,8,1.0472310049373779
13,7,8,0.8869127879191457
12,8,32,0.660533170634765
18,8,32,0.7223042712037796
